index,Date,TransactionCount
1053,18112018,2319941
1054,19112018,2703143
1055,20112018,2866559
1056,21112018,3019048
1057,22112018,2224665
1058,23112018,3853078
1059,24112018,3271368
1060,25112018,2654371
1061,26112018,3114017
1062,27112018,3108412
1063,28112018,3024816
1064,29112018,3312578
1065,30112018,3874626
1066,1122018,3916236
1067,2122018,3195789
1068,3122018,3584845
1069,4122018,3729781
1070,5122018,4098574
1071,6122018,4340973
1072,7122018,4796753
1073,8122018,5418646
1074,9122018,4324990
1075,10122018,4889521
1076,11122018,5166186
1077,12122018,5098390
1078,13122018,5519922
1079,14122018,6563464
1080,15122018,7753421
1081,16122018,6602519
1082,17122018,7607816
1083,18122018,8359921
1084,19122018,9323120
1085,20122018,10437773
1086,21122018,12072154
1087,22122018,12748304
1088,23122018,12760109
1089,24122018,13649296
1090,25122018,3710950
1091,26122018,4979283
1092,27122018,5070313
1093,28122018,4838417
1094,29122018,4397841
1095,30122018,3736114
1096,31122018,3849566
1097,1012019,2696421
1098,2012019,3305187
1099,3012019,3313575
1100,4012019,3393393
1101,5012019,3486347
1102,6012019,2841354
1103,7012019,2685121
1104,8012019,2576995
1105,9012019,2779706
1106,10012019,2768156
1107,11012019,2919437
1108,12012019,2967700
1109,13012019,2386460
1110,14012019,2409541
1111,15012019,2560834
1112,16012019,2463917
1113,17012019,2559570
1114,18012019,2907130
1115,19012019,2793289
1116,20012019,2194069
1117,21012019,2317147
1118,22012019,2278594
1119,23012019,2252720
1120,24012019,2245333
1121,25012019,2825642
1122,26012019,2711801
1123,27012019,2210420
1124,28012019,2199575
1125,29012019,2413069
1126,30012019,2325280
1127,31012019,2539320
1128,1022019,3043978
1129,2022019,3111754
1130,3022019,2472929
1131,4022019,2202130
1132,5022019,2299196
1133,6022019,2376409
1134,7022019,2369253
1135,8022019,2865188
1136,9022019,2953968
1137,10022019,2360693
1138,11022019,2418140
1139,12022019,2430951
1140,13022019,3102154
1141,14022019,3214791
1142,15022019,2768317
1143,16022019,2784936
1144,17022019,2188415
1145,18022019,2112450
1146,19022019,2144405
1147,20022019,2116794
1148,21022019,2197621
1149,22022019,2466717
1150,23022019,2617258
1151,24022019,1928743
1152,25022019,2076355
1153,26022019,2085651
1154,27022019,2126936
1155,28022019,2470889
1156,1032019,2856516
1157,2032019,2829287
1158,3032019,2180124
1159,4032019,2164959
1160,5032019,2117200
1161,6032019,2048795
1162,7032019,2277250
1163,8032019,2526106
1164,9032019,2483209
1165,10032019,1947709
1166,11032019,2101293
1167,12032019,2138016
1168,13032019,2084252
1169,14032019,2369890
1170,15032019,2605507
1171,16032019,2674992
1172,17032019,2084108
1173,18032019,2102903
1174,19032019,2060113
1175,20032019,2138655
1176,21032019,2141433
1177,22032019,2468536
1178,23032019,2499369
1179,24032019,2024515
1180,25032019,2155407
1181,26032019,2117926
1182,27032019,2157121
1183,28032019,2257010
1184,29032019,2627222
1185,30032019,2635827
1186,31032019,2146097
1187,1042019,2227783
1188,2042019,2158386
1189,3042019,2138636
1190,4042019,2221080
1191,5042019,2603772
1192,6042019,2508555
1193,7042019,2033685
1194,8042019,2196559
1195,9042019,2151842
1196,10042019,2198283
1197,11042019,2207053
1198,12042019,2622152
1199,13042019,2687554
1200,14042019,2182480
1201,15042019,2472397
1202,16042019,2428608
1203,17042019,2616037
1204,18042019,2876610
1205,19042019,3370843
1206,20042019,4226356
1207,21042019,1975356
1208,22042019,2286434
1209,23042019,2396298
1210,24042019,2310618
1211,25042019,2289200
1212,26042019,2547255
1213,27042019,2517118
1214,28042019,2065311
1215,29042019,2185202
1216,30042019,2454599
1217,1052019,2302923
1218,2052019,2551008
1219,3052019,2864969
1220,4052019,2806104
1221,5052019,2387306
1222,6052019,2548577
1223,7052019,2591226
1224,8052019,2694666
1225,9052019,3100783
1226,10052019,3379862
1227,11052019,3970973
1228,12052019,2972769
1229,13052019,2268970
1230,14052019,2236793
1231,15052019,2274634
1232,16052019,2418213
1233,17052019,2705694
1234,18052019,2709913
1235,19052019,2165850
1236,20052019,2269911
1237,21052019,2328758
1238,22052019,2429337
1239,23052019,2489602
1240,24052019,2814836
1241,25052019,2588421
1242,26052019,2146586
1243,27052019,2161313
1244,28052019,2219457
1245,29052019,2450056
1246,30052019,2591701
1247,31052019,2974574
1248,1062019,2951831
1249,2062019,2393530
1250,3062019,2609592
1251,4062019,2575087
1252,5062019,2538631
1253,6062019,2693643
1254,7062019,2915205
1255,8062019,2891697
1256,9062019,2374784
1257,10062019,2592799
1258,11062019,2756505
1259,12062019,3074717
1260,13062019,2960619
1261,14062019,3478215
1262,15062019,4032156
1263,16062019,3311886
1264,17062019,2512243
1265,18062019,2560607
1266,19062019,2452233
1267,20062019,2591246
1268,21062019,2976475
1269,22062019,2747653
1270,23062019,2159333
1271,24062019,2668720
1272,25062019,2527256
1273,26062019,2666876
1274,27062019,2655708
1275,28062019,2889752
1276,29062019,2655321
1277,30062019,2279690
1278,1072019,2438360
1279,2072019,2495127
1280,3072019,2531195
1281,4072019,2174217
1282,5072019,2530250
1283,6072019,2510980
1284,7072019,2032842
1285,8072019,2291760
